Transportation Service Provider Name:,,,,ANR Pipeline Company,,,,,,,,,,,,,,,
Transportation Service Provider:,,,,6958581,,,,,,,,,,,,,,,
Transporation Service Provider FERC CID:,,,,C000623,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location Name,Loc,Loc St Abbrev,Loc Cnty,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn Loc Name,Up/Dn Loc,Up/Dn FERC CID IND,Up/Dn FERC CID,Update Date/Time
CHENIERE PERDUE,7692,LA,Cameron,Zone 1,GTH,R,A,6/18/10,,,N,Goldking Production,825077993,,,,N,,20170109 10:02
CHESTERTON,378119,IN,Porter,Zone 7,LDC,D,A,12/19/05,,,N,NIPSCO,6937585,,,,N,,20190314 12:46
CHILTON,28662,WI,Calumet,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20150508 13:01
"CHRISNEY, TOWN OF CHRISN",4481,IN,Spencer,Zone 3,LDC,D,A,1/1/83,,,N,Chrisney Town Of,2565448,,,,N,,20190319 10:17
CHRISNEY/MGT (DELIVERY),4480,IN,Spencer,Zone 3,INT,D,A,1/1/83,,,Y,Midwestern Gas Transmission,6792451,,Chrisney,18234,Y,C000582,20190319 10:17
CHRISNEY/MGT (RECEIPT),138660,IN,Spencer,Zone 3,INT,R,A,5/1/90,,,Y,Midwestern Gas Transmission,6792451,,Chrisney,18234,Y,C000582,20160607 05:01
CHRISTMAS LAKE,4483,IN,Spencer,Zone 3,LDC,D,A,1/1/83,,,N,Community Natural Gas,7814049,,,,N,,20190319 10:17
CINCINNATI,40180,IA,Appanoose,Zone 6,LDC,D,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20140131 13:42
CLEVELAND,40198,WI,Manitowoc,Zone 7,LDC,B,I,1/1/83,,20180814,N,Wisconsin Public Service Co,7947435,,,,N,,20190319 10:31
CLINTONVILLE,28854,WI,Waupaca,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20150508 12:48
COLDWATER,40468,MI,Branch,Zone 7,LDC,D,A,11/1/88,,,N,Michigan Gas Utilities,622377096,,,,N,,20170616 13:31
COLDWATER LAKE,40469,MI,Branch,Zone 7,LDC,D,A,11/1/88,,,N,Michigan Gas Utilities,622377096,,,,N,,20170616 12:31
COLEMAN,28769,WI,Oconto,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20190405 16:31
COLLIERVILLE GATE,416969,TN,Shelby,Zone 2,LDC,D,A,11/22/04,,,N,Memphis Light Gas/Water ,152524732,,,,N,,20180725 16:31
COLOMA,11579,MI,Berrien,Zone 7,LDC,D,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20190212 10:17
COLTER WEST INTERCONNECT,261472,KS,Comanche,Zone 4,WHD,R,A,7/1/99,,,N,Southwest Supply Co DBA,791099039,,,,N,,20040702 10:43
COLUMBUS,28672,MI,Columbia,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20190115 11:47
COLUMBUS LINK INT,206051,MI,St Clair,Zone 7,LDC,B,A,11/1/96,,,N,DTE Gas Company,6958540,,,,N,,20140808 07:48
COMM NATL-GRP 1,139237,IN,Indiana,Zone 3,LDC,B,A,11/1/92,,,N,Community Natural Gas,7814049,,,,N,,19970804 05:43
CONSTANTINE,11784,MI,St Joseph,Zone 7,LDC,D,A,1/1/83,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20190321 13:16
